Product Name,Pack,Code,barcode1,Stock Level,Weeks of Stock (supplied),Stock Status,On Order,binLocation
AA GUESS ICONIC 100ML EDP + 100ML BODY LOTION + TS (P24),4PCE(BOXED,nan,3.3489E+12,0,0.0,Red,False,
AA GUESS ICONIC 100ML EDP + 100ML BODY LOTION + TS (P24),4PCE(BOXED,nan,3.3489E+12,0,0.0,Red,False,
AA GUESS ICONIC 100ML EDP + 100ML BODY LOTION + TS (P24),4PCE(BOXED,nan,3.3489E+12,0,0.0,Red,False,
AA GUESS ICONIC 100ML EDP + 100ML BODY LOTION + TS (P24),4PCE(BOXED,nan,3.3489E+12,0,0.0,Red,False,
AA GUESS ICONIC 100ML EDP + 100ML BODY LOTION + TS (P24),4PCE(BOXED,nan,3.3489E+12,0,0.0,Red,False,
AA GUESS ICONIC 100ML EDP + 100ML BODY LOTION + TS (P24),4PCE(BOXED,nan,3.3489E+12,0,0.0,Red,False,
AA GUESS ICONIC 100ML EDP + 100ML BODY LOTION + TS (P24),4PCE(BOXED,nan,3.3489E+12,0,0.0,Red,False,
AA GUESS ICONIC 100ML EDP + 100ML BODY LOTION + TS (P24),4PCE(BOXED,nan,3.3489E+12,0,0.0,Red,False,
AA GUESS ICONIC 100ML EDP + 100ML BODY LOTION + TS (P24),4PCE(BOXED,nan,3.3489E+12,0,0.0,Red,False,
AA GUESS ICONIC 100ML EDP + 100ML BODY LOTION + TS (P24),4PCE(BOXED,nan,3.3489E+12,0,0.0,Red,False,
AA GUESS ICONIC 100ML EDP + 100ML BODY LOTION + TS (P24),4PCE(BOXED,nan,3.3489E+12,0,0.0,Red,False,
AA GUESS ICONIC 100ML EDP + 100ML BODY LOTION + TS (P24),4PCE(BOXED,nan,,0,0.0,Red,False,
AA GUESS ICONIC 100ML EDP + 100ML BODY LOTION + TS (P24),4PCE(BOXED,nan,,0,0.0,Red,False,
AA GUESS ICONIC 100ML EDP + 100ML BODY LOTION + TS (P24),4PCE(BOXED,nan,,0,0.0,Red,True,"AMH-G2, A2DN01"
AA GUESS ICONIC 100ML EDP + 100ML BODY LOTION + TS (P24),4PCE(BOXED,nan,,0,0.0,Red,False,
AA GUESS ICONIC 100ML EDP + 100ML BODY LOTION + TS (P24),4PCE(BOXED,nan,,0,0.0,Red,False,TE8
AA GUESS ICONIC 100ML EDP + 100ML BODY LOTION + TS (P24),4PCE(BOXED,nan,,0,0.0,Red,False,TH6
AA GUESS ICONIC 100ML EDP + 100ML BODY LOTION + TS (P24),4PCE(BOXED,nan,3614273308113\t,0,0.0,Red,False,
AA JENNY GLOW 2PC 30ML + 150ML BODYSPRAY UFO (P25),JENSET205,nan,85715330208,0,0.0,Red,False,
AA JENNY GLOW 2PC 30ML + 150ML BODYSPRAY UFO (P25),JENSET205,nan,,0,0.0,Red,True,
AA JENNY GLOW 2PC 30ML + 150ML BODYSPRAY UFO (P25),JENSET205,nan,8.43542E+12,0,0.0,Red,False,BAZK5
AA JENNY GLOW 2PC 30ML + 150ML BODYSPRAY UFO (P25),JENSET205,nan,8.43542E+12,0,0.0,Red,False,BAZG3
AA JENNY GLOW 2PC 30ML + 150ML BODYSPRAY UFO (P25),JENSET205,nan,8.43542E+12,0,0.0,Red,False,
AA JENNY GLOW 2PC 30ML + 150ML BODYSPRAY UFO (P25),JENSET205,nan,8.43542E+12,0,0.0,Red,False,BAZI5
AA JENNY GLOW 2PC 30ML + 150ML BODYSPRAY UFO (P25),JENSET205,nan,3.38646E+12,0,0.0,Red,False,BAZP5
AA JENNY GLOW 2PC 30ML + 150ML BODYSPRAY UFO (P25),JENSET205,nan,3.38646E+12,0,0.0,Red,False,BAZK3
AA JENNY GLOW 2PC 30ML + 150ML BODYSPRAY UFO (P25),JENSET205,nan,3.3489E+12,0,0.0,Red,False,
AA JENNY GLOW 2PC 30ML + 150ML BODYSPRAY UFO (P25),JENSET205,nan,3.3489E+12,0,0.0,Red,False,
AA JENNY GLOW 2PC 30ML + 150ML BODYSPRAY UFO (P25),JENSET205,nan,3.3489E+12,0,0.0,Red,False,
AA JENNY GLOW 2PC 30ML + 150ML BODYSPRAY UFO (P25),JENSET205,nan,3.3489E+12,0,0.0,Red,False,
AA JENNY GLOW 2PC 30ML + 150ML BODYSPRAY UFO (P25),JENSET205,nan,3.3489E+12,0,0.0,Red,False,
AA JENNY GLOW 2PC 30ML + 150ML BODYSPRAY UFO (P25),JENSET205,nan,3.3489E+12,0,0.0,Red,False,
AA JENNY GLOW 2PC 30ML + 150ML BODYSPRAY UFO (P25),JENSET205,nan,3.3489E+12,0,0.0,Red,False,
AA JENNY GLOW 2PC 30ML + 150ML BODYSPRAY UFO (P25),JENSET205,nan,3.3489E+12,0,0.0,Red,False,
AA JENNY GLOW 2PC 30ML + 150ML BODYSPRAY UFO (P25),JENSET205,nan,3.3489E+12,0,0.0,Red,False,
AA JENNY GLOW 2PC 30ML + 150ML BODYSPRAY UFO (P25),JENSET205,nan,3.3489E+12,0,0.0,Red,False,
AA JENNY GLOW 2PC 30ML + 150ML BODYSPRAY UFO (P25),JENSET205,nan,3.3489E+12,0,0.0,Red,False,
AA JENNY GLOW 2PC 30ML + 150ML BODYSPRAY UFO (P25),JENSET205,nan,3.3489E+12,0,0.0,Red,False,
AA JENNY GLOW 2PC 30ML + 150ML BODYSPRAY UFO (P25),JENSET205,nan,3.3489E+12,0,0.0,Red,False,
AA JENNY GLOW 2PC 30ML + 150ML BODYSPRAY UFO (P25),JENSET205,nan,,0,0.0,Red,False,
AA JENNY GLOW 2PC 30ML + 150ML BODYSPRAY UFO (P25),JENSET205,nan,,0,0.0,Red,False,
